model,val_auc,val_ap,val_accuracy,val_sensitivity,val_specificity,val_f1,val_brier,val_auc_ci_low,val_auc_ci_high,test_auc,test_ap,test_accuracy,test_sensitivity,test_specificity,test_f1,test_brier,test_auc_ci_low,test_auc_ci_high
LR,0.8567691301504251,0.8881816214572722,0.7760736196319018,0.7593582887700535,0.7985611510791367,0.7955182072829131,0.15567019832908616,0.8155451343439187,0.8927083686755162,0.8534990189666447,0.8858647420725414,0.7515337423312883,0.7219251336898396,0.7913669064748201,0.7692307692307693,0.1603624491702477,0.8028538447977241,0.8933190043015977
LASSO,0.8590389720309314,0.8928554996947925,0.7852760736196319,0.7754010695187166,0.7985611510791367,0.8055555555555556,0.15500651772711008,0.8193995617722627,0.8976131965944272,0.85430692878852,0.8836177411548194,0.7576687116564417,0.7219251336898396,0.8057553956834532,0.7736389684813754,0.1608907510555971,0.8034962383927547,0.890655079331338
RF,0.8654637787096526,0.8922739604158194,0.7699386503067485,0.8128342245989305,0.7122302158273381,0.8021108179419525,0.14975369592179072,0.825766662199589,0.8996411628915842,0.8569230177355442,0.8814950993639665,0.7944785276073619,0.8181818181818182,0.762589928057554,0.8203753351206434,0.1535959320046494,0.802281001826648,0.8901996527777778
MLP,0.8559996922248297,0.8931629995072251,0.7760736196319018,0.8288770053475936,0.7050359712230215,0.8093994778067886,0.1551953435927968,0.8176148733226553,0.8952946093207068,0.8449582579925364,0.8695339869971775,0.7515337423312883,0.7647058823529411,0.7338129496402878,0.779291553133515,0.1589411541873264,0.7906991174848317,0.8844601990548708
LASSO_CV,0.858962028238372,0.8927772302493143,0.7883435582822086,0.7754010695187166,0.8057553956834532,0.807799442896936,0.15511601330801292,0.8188584301386511,0.8971546052631578,0.8541145693071212,0.8833975611875352,0.7576687116564417,0.7219251336898396,0.8057553956834532,0.7736389684813754,0.1609891503185082,0.8031648073579426,0.8893743307635534
XGB,0.8506520986419421,0.8720688428156749,0.7852760736196319,0.8074866310160428,0.7553956834532374,0.8118279569892473,0.15756317959508323,0.8137344476467057,0.8898446697519588,0.8468049090139653,0.8844424421732976,0.7699386503067485,0.7754010695187166,0.762589928057554,0.7945205479452054,0.17042560590871456,0.7916305519755319,0.8803405285190999
LGBM,0.8474974031470011,0.8698514585696272,0.7699386503067485,0.8021390374331551,0.7266187050359713,0.8,0.17580568214933848,0.8078450001174444,0.883781833121795,0.8342630708267611,0.8690170973746065,0.7484662576687117,0.7593582887700535,0.7338129496402878,0.7759562841530054,0.19293335897284003,0.7838310370579599,0.8694425305798852
CatBoost,0.8493825260647098,0.879718311617967,0.7699386503067485,0.7754010695187166,0.762589928057554,0.7945205479452054,0.15746178636190916,0.8149547948332677,0.8842711888178029,0.8483822567614357,0.8835956898026492,0.7699386503067485,0.7647058823529411,0.7769784172661871,0.7922437673130194,0.1633238519951666,0.7962662327802776,0.8825466743987999
Stacking,0.8539222098257223,0.882387191899907,0.7944785276073619,0.8021390374331551,0.7841726618705036,0.8174386920980926,0.15789499696185838,0.816011740478987,0.887468965698508,0.8507290424345016,0.8874610691355997,0.7638036809815951,0.7379679144385026,0.7985611510791367,0.7818696883852692,0.1658413112628171,0.7971989881543954,0.885388539288718
