feature_raw,feature_display_zh,mean_abs_shap
num__BRI,身体围度指数(BRI),0.59375817
num__LBXGLU,空腹血糖,0.5324028
num__BMXWAIST,腰围(cm),0.4875007
num__BMXBMI,BMI,0.32166892
num__TyG,TyG指数,0.27355614
num__RIDAGEYR,年龄(岁),0.25362018
num__BMXWT,体重(kg),0.23884489
num__LBXTR,LBXTR,0.22761297
num__BPXSY1,收缩压(mmHg),0.2021384
num__ALT_AST_ratio,ALT/AST比值,0.19817011
num__LBXSGTSI,GGT,0.18200547
num__LBDHDD,HDL‑C,0.16385311
num__LBXSATSI,ALT,0.15724964
num__TC_HDL_ratio,总胆固醇/HDL‑C,0.14461367
num__BPXDI1,舒张压(mmHg),0.14417057
num__LBXSUA,血清尿酸,0.13949522
num__LBXSTB,总胆红素,0.13484532
num__LBXGH,HbA1c,0.1277806
num__LBDLDL,LBDLDL,0.122559264
num__LBXSASSI,AST,0.12165576
num__BMXHT,身高(cm),0.11241162
num__LBXSAL,白蛋白,0.09314767
cat__SMQ020_1.0,吸烟状态=1.0,0.05406316
cat__RIAGENDR_1.0,性别=1.0,0.042311672
cat__ALQ111_1.0,是否饮酒=1.0,0.019154763
cat__SMQ020_2.0,吸烟状态=2.0,0.00663811
cat__ALQ111_missing,是否饮酒=missing,0.004228546
cat__ALQ111_2.0,是否饮酒=2.0,0.0038228605
cat__RIAGENDR_2.0,性别=2.0,0.0
