round,n_patients,n_pos,n_neg,auc_baseline,auc_fan,acc_baseline,acc_fan,f1_baseline,f1_fan,brier_baseline,brier_fan,delta_auc,delta_acc,delta_f1,delta_brier
1,40,33,7,0.5454545454545454,0.5627705627705628,0.575,0.625,0.711864406779661,0.7457627118644068,0.2349101880618222,0.22586414134894062,0.017316017316017396,0.050000000000000044,0.03389830508474578,-0.009046046712881589
2,40,33,7,0.6536796536796536,0.70995670995671,0.625,0.675,0.7368421052631579,0.7796610169491526,0.2268703658736711,0.212265468762804,0.05627705627705637,0.050000000000000044,0.04281891168599472,-0.014604897110867099
3,40,33,7,0.6363636363636364,0.7012987012987013,0.625,0.675,0.7368421052631579,0.7796610169491526,0.22988740008766895,0.2159683929248089,0.06493506493506496,0.050000000000000044,0.04281891168599472,-0.013919007162860042
4,40,33,7,0.5497835497835498,0.658008658008658,0.6,0.675,0.7333333333333333,0.7868852459016393,0.23059095660158416,0.21125728949776637,0.10822510822510822,0.07500000000000007,0.05355191256830605,-0.019333667103817787
5,40,33,7,0.4935064935064935,0.5324675324675324,0.55,0.575,0.6896551724137931,0.711864406779661,0.24185186806936895,0.23016068077580484,0.03896103896103892,0.02499999999999991,0.022209234365867858,-0.01169118729356411
6,40,33,7,0.6623376623376624,0.70995670995671,0.6,0.65,0.7037037037037037,0.75,0.23290394664810005,0.22619551095495746,0.04761904761904756,0.050000000000000044,0.04629629629629628,-0.006708435693142584
7,40,33,7,0.5411255411255412,0.5584415584415585,0.6,0.625,0.7241379310344828,0.7457627118644068,0.23791380038182758,0.22877743063219985,0.017316017316017285,0.025000000000000022,0.02162478082992403,-0.009136369749627726
8,40,33,7,0.5021645021645023,0.5281385281385282,0.575,0.65,0.7017543859649122,0.7666666666666667,0.23776566014102593,0.22640955135337823,0.025974025974025983,0.07500000000000007,0.06491228070175448,-0.0113561087876477
9,40,33,7,0.5021645021645023,0.5367965367965368,0.6,0.65,0.7241379310344828,0.7666666666666667,0.24221782966938546,0.22680711321031363,0.03463203463203457,0.050000000000000044,0.042528735632183956,-0.015410716459071827
10,40,33,7,0.6796536796536797,0.7056277056277056,0.6,0.7,0.7142857142857143,0.7931034482758621,0.22981180210692848,0.2214342012513073,0.02597402597402587,0.09999999999999998,0.0788177339901478,-0.00837760085562117
11,40,33,7,0.5541125541125541,0.5887445887445888,0.625,0.675,0.7457627118644068,0.7868852459016393,0.2311561124062659,0.21570122555449064,0.03463203463203468,0.050000000000000044,0.04112253403723254,-0.015454886851775262
12,40,33,7,0.4675324675324676,0.5021645021645021,0.5,0.575,0.6428571428571429,0.7017543859649122,0.24380738671868266,0.23619253742214757,0.03463203463203457,0.07499999999999996,0.05889724310776934,-0.007614849296535081
13,40,33,7,0.47619047619047616,0.5541125541125541,0.55,0.65,0.6896551724137931,0.7666666666666667,0.24033158755901002,0.2279654519502463,0.07792207792207795,0.09999999999999998,0.07701149425287357,-0.012366135608763706
14,40,33,7,0.49350649350649356,0.5367965367965368,0.5,0.6,0.6296296296296297,0.7241379310344828,0.2533211064226356,0.23957813704424868,0.04329004329004327,0.09999999999999998,0.09450830140485311,-0.013742969378386927
15,40,33,7,0.4675324675324676,0.5411255411255411,0.65,0.675,0.78125,0.7936507936507936,0.22828696158987904,0.21895067464549234,0.07359307359307354,0.025000000000000022,0.012400793650793607,-0.009336286944386707
16,40,33,7,0.6320346320346321,0.6969696969696969,0.625,0.725,0.7457627118644068,0.819672131147541,0.22281035103243935,0.21156910396190728,0.06493506493506485,0.09999999999999998,0.07390941928313421,-0.011241247070532062
17,40,33,7,0.45454545454545453,0.5064935064935066,0.6,0.675,0.7419354838709677,0.7936507936507936,0.22711654820123864,0.21938875630458768,0.05194805194805202,0.07500000000000007,0.05171530977982586,-0.0077277918966509596
18,40,33,7,0.683982683982684,0.722943722943723,0.65,0.725,0.7666666666666667,0.819672131147541,0.22059909910172326,0.2085501633315457,0.038961038961038974,0.07499999999999996,0.05300546448087429,-0.012048935770177571
19,40,33,7,0.39826839826839827,0.48051948051948057,0.475,0.625,0.631578947368421,0.7540983606557377,0.24852764553144496,0.2272395368695035,0.0822510822510823,0.15000000000000002,0.12251941328731664,-0.021288108661941474
20,40,33,7,0.5238095238095237,0.5541125541125542,0.6,0.65,0.7241379310344828,0.7666666666666667,0.23898027347701487,0.22629432173629221,0.030303030303030498,0.050000000000000044,0.042528735632183956,-0.01268595174072265
